CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G8662F101,,TAILWIND INTERNATNAL ACQ COR,35711,-114289,350K,-1.12M,-76.2%,0.05%
G9461D107,,WARBURG PINCUS CAPTAL CORP I,360664,-114336,3.54M,-1.12M,-24.1%,0.54%
G8704C124,,TCV ACQUISITION CORP,659513,-115487,6.44M,-1.13M,-14.9%,0.98%
G8990D125,,TPG PACE BEN FIN CORP,708854,-115924,7.04M,-1.15M,-14.1%,1.1%
482506102,,KHOSLA VENTURES ACQUT CO III,1132805,-118502,11.07M,-1.16M,-9.5%,1.7%
808641104,,SCIENCE STRATEGIC ACQ ALPHA,83299,-121406,817K,-1.19M,-59.3%,0.12%
G00496102,,ABG ACQUISITION CORP I,337052,-122440,3.31M,-1.2M,-26.6%,0.5%
83363K102,,SOCIAL LEVERAGE ACQUISN CORP,433264,-124501,4.24M,-1.22M,-22.3%,0.64%
G4989X115,,JACK CREEK INVESTMENT CORP,180906,-124452,1.77M,-1.22M,-40.8%,0.27%
849196100,,SPORTSTEK ACQUISITION CORP,50000,-125000,489K,-1.22M,-71.4%,0.07%
G8253Y105,,SOCIAL CAP SUVRETTA HLDS CP,268850,-131150,2.62M,-1.28M,-32.8%,0.4%
G8253T106,,SOCIAL CAP SUVRETTA HLDS CRP,270579,-129421,2.68M,-1.28M,-32.4%,0.41%
G50735102,,JAWS JUGGERNAUT ACQUISITN CO,568734,-131251,5.55M,-1.28M,-18.8%,0.84%
G50737108,JWSMF,JAWS MUSTANG ACQUISITION COR,757650,-130635,7.43M,-1.28M,-14.7%,1.1%
007024102,,ADIT EDTECH ACQUISITION CORP,0,-130000,0,-1.29M,CLOSE,0%
42589T107,HCIC,HENNESSY CAPITAL INVS CORP V,434222,-132828,4.26M,-1.3M,-23.4%,0.65%
G24237110,,CORAZON CAPITAL V838 MONOCER,0,-131514,0,-1.31M,CLOSE,0%
G4204R109,,G SQUARED ASCEND I INC,331260,-135720,3.26M,-1.34M,-29.1%,0.5%
77867Q102,,ROTH CH ACQUISITION III CO,0,-134848,0,-1.34M,CLOSE,0%
49878L109,,KLUDEIN I ACQUISITION CORP,0,-138000,0,-1.36M,CLOSE,0%
G9118J101,,TUATARA CAPITAL ACQUISITN CO,114553,-138799,1.13M,-1.37M,-54.8%,0.17%
G52110114,,KAIROS ACQUISITION CORP,0,-143418,0,-1.4M,CLOSE,0%
G7613T103,,ROCKET INTERNET GRWT OPRT CO,417381,-146028,4.09M,-1.43M,-25.9%,0.62%
11134Y101,,BROADSCALE ACQUISITION CORP,52496,-147504,517K,-1.45M,-73.8%,0.08%
88605T100,,THUNDER BRIDGE CAP PRTNRS II,0,-150000,0,-1.46M,CLOSE,0%
G71716107,,POPULATION HEALTH INVS CO IN,0,-150000,0,-1.48M,CLOSE,0%
G6546R101,,NOBLE ROCK ACQUISITION CORP,163240,-157868,1.6M,-1.55M,-49.2%,0.24%
50202P113,,LI-CYCLE HOLDINGS CORP,0,-626143,0,-1.55M,CLOSE,0%
37519U208,,GIGCAPITAL 5 INC,0,-150000,0,-1.55M,CLOSE,0%
194170106,,COLICITY INC,429613,-165556,4.2M,-1.62M,-27.8%,0.64%
538126103,,LIVE OAK MOBILITY ACQUISI CO,22048,-172952,216K,-1.69M,-88.7%,0.03%
29465E106,,EQUITY DISTR ACQUISITION COR,0,-178000,0,-1.75M,CLOSE,0%
443760103,,HUDSON EXECUTIVE INVS CORP I,322815,-181377,3.15M,-1.77M,-36%,0.48%
G6529L105,,NEW VISTA ACQUISITION CORP,110859,-181482,1.08M,-1.78M,-62.1%,0.16%
G9152V101,,TWO,319724,-181626,3.13M,-1.78M,-36.2%,0.48%
G3R95N129,,ESGEN ACQUISITION CORP,0,-175806,0,-1.78M,CLOSE,0%
74275N102,,PRIVETERRA ACQUISITION CORP,61226,-188374,599K,-1.84M,-75.5%,0.09%
G3167F102,,EUROPEAN BIOTECH ACQUTN CORP,103742,-197157,1.01M,-1.93M,-65.5%,0.15%
69242M104,,OYSTER ENTERPRISES ACQ CORP,191777,-197234,1.88M,-1.93M,-50.7%,0.29%
G04119106,6B4.F,PATHFINDER ACQUISITION CORP,478677,-197223,4.69M,-1.93M,-29.2%,0.71%
12520R106,,CF ACQUISITION CORP V,0,-199998,0,-1.94M,CLOSE,0%
34964G107,,FORTRESS VALUE ACQUIS CORP I,98203,-198492,967K,-1.95M,-66.9%,0.15%
G9460M108,,WARBURG PINCUS CAPTAL CORP I,1010787,-199248,9.93M,-1.96M,-16.5%,1.5%
G89826104,,TPG PACE BENEFICIAL II CORP,795001,-204844,7.81M,-2.01M,-20.5%,1.2%
04906P101,,ATLANTIC AVE ACQUISITION COR,0,-210438,0,-2.06M,CLOSE,0%
38286T101,,GORES HOLDINGS VII INC,321556,-213153,3.15M,-2.09M,-39.9%,0.48%
