CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
87918A105,TDOC,TELADOC HEALTH INC,8544,-3070,216K,-77.61K,-26.4%,0.13%
009158106,APD,AIR PRODS &CHEMS INC,2620,-339,609K,-78.8K,-11.5%,0.38%
00287Y109,ABBV,ABBVIE INC,4763,-650,639K,-87.2K,-12%,0.4%
74874Q100,QNST,QUINSTREET INC,0,-11800,0,-118K,CLOSE,0%
037833100,AAPL,APPLE INC,127213,-926,17.58M,-127.97K,-0.7%,11%
28176E108,EW,EDWARDS LIFESCIENCES CORP,2902,-2116,239K,-174.27K,-42.2%,0.15%
83088M102,SWKS,SKYWORKS SOLUTIONS INC,0,-2168,0,-200K,CLOSE,0%
12047B105,BMBL,BUMBLE INC,0,-7198,0,-202K,CLOSE,0%
57060D108,MKTX,MARKETAXESS HLDGS INC,0,-791,0,-202K,CLOSE,0%
87969B101,TLS,TELOS CORP MD,0,-25511,0,-206K,CLOSE,0%
34959E109,FTNT,FORTINET INC,0,-3705,0,-209K,CLOSE,0%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,0,-886,0,-214K,CLOSE,0%
810186106,SMG,SCOTTS MIRACLE-GRO CO,0,-3125,0,-246K,CLOSE,0%
00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,0,-687,0,-251K,CLOSE,0%
05278C107,ATHM,AUTOHOME INC,0,-7121,0,-280K,CLOSE,0%
580135101,MCD,MCDONALDS CORP,0,-1200,0,-296K,CLOSE,0%
46116X101,ITCI,INTRA-CELLULAR THERAPIES INC,16600,-50325,772K,-2.34M,-75.2%,0.48%
562662106,,MANDIANT INC,0,-114114,0,-2.49M,CLOSE,0%
Total,,,,,160.12M,6.97M,+4.1%,100%
