CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
311900104,FAST,FASTENAL CO,695029,45552,33.38M,2.19M,+7%,0.34%
03076C106,AMP,AMERIPRISE FINL INC,12237,4750,5.61M,2.18M,+63.4%,0.06%
231561101,CW,CURTISS WRIGHT CORP,2843,2843,2.15M,2.15M,NEW,0.02%
580135101,MCD,MCDONALDS CORP,92292,7878,24.95M,2.13M,+9.3%,0.26%
98980L101,ZM,ZOOM COMMUNICATIONS INC,32770,24599,2.83M,2.12M,+301.1%,0.03%
243537107,DECK,DECKERS OUTDOOR CORP,32491,20493,3.23M,2.03M,+170.8%,0.03%
871829107,SYY,SYSCO CORP,115796,24313,9.68M,2.03M,+26.6%,0.1%
G0250X149,AMCR,AMCOR PLC,77496,46595,3.36M,2.02M,+150.8%,0.03%
98978V103,ZTS,ZOETIS INC,59650,27780,4.29M,2M,+87.2%,0.04%
00287Y109,ABBV,ABBVIE INC,194041,7895,48.82M,1.99M,+4.2%,0.5%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,19156,7253,5.21M,1.97M,+60.9%,0.05%
56501R106,MFC,MANULIFE FINL CORP,101627,47057,4.12M,1.91M,+86.2%,0.04%
217204106,CPRT,COPART INC,75658,67015,2.13M,1.89M,+775.4%,0.02%
30040W108,ES,EVERSOURCE ENERGY,222297,25626,16.06M,1.85M,+13%,0.17%
501044101,KR,KROGER CO,207833,32759,11.54M,1.82M,+18.7%,0.12%
31488V107,FERG,FERGUSON ENTERPRISES INC,20520,7367,4.87M,1.75M,+56%,0.05%
983793100,XPO,XPO INC,8464,8464,1.74M,1.74M,NEW,0.02%
031100100,AME,AMETEK INC,163429,7148,39.54M,1.73M,+4.6%,0.41%
N53745100,LYB,LYONDELLBASELL INDUSTRIES NV,71809,32543,3.78M,1.71M,+82.9%,0.04%
31620M106,FIS,FIDELITY NATL INFORMATION SV,92314,43813,3.59M,1.7M,+90.3%,0.04%
G2004J103,CCL,CARNIVAL CORP LTD,171654,59606,4.9M,1.7M,+53.2%,0.05%
570535104,MKL,MARKEL GROUP INC,857,857,1.67M,1.67M,NEW,0.02%
142339100,CSL,CARLISLE COS INC,5231,4572,1.9M,1.66M,+693.8%,0.02%
40434L105,HPQ,HP INC,230993,75395,5.07M,1.65M,+48.5%,0.05%
