CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G3934V109,GENI,Genius Sports Ltd,5088781,-21100,31.5M,-130.61K,-0.4%,0.21%
M6158M104,ITRN,Ituran Location and Control Lt,94526,-5722,2.21M,-133.55K,-5.7%,0.01%
65443P102,MASS,908 Devices Inc,3972905,-19994,27.25M,-137.16K,-0.5%,0.18%
422806109,HEI,HEICO Corp,19981,-884,3.54M,-156.41K,-4.2%,0.02%
62857X101,,MYNARIC AGNAMENS AKTIEN O N,607573,-26938,3.86M,-171.06K,-4.2%,0.03%
81141R100,SE,Sea Ltd,20195,-3105,1.17M,-180.21K,-13.3%,<.01%
40434L105,HPQ,HP Inc,217032,-5931,6.67M,-182.14K,-2.7%,0.04%
533900106,LECO,Lincoln Electric Holdings Inc,13590,-925,2.7M,-183.73K,-6.4%,0.02%
M8216R109,RSKD,Riskified Ltd,390922,-38152,1.9M,-185.42K,-8.9%,0.01%
N0280G100,AIR.PA,Airbus SE,30221,-1343,4.37M,-194.08K,-4.3%,0.03%
D69671218,SIE.DE,Siemens AG,13560,-1167,2.26M,-194.76K,-7.9%,0.01%
M22465104,CHKP,Check Point Software Technolog,15426,-1556,1.94M,-195.46K,-9.2%,0.01%
438516106,HON,Honeywell International Inc,21408,-952,4.44M,-197.54K,-4.3%,0.03%
848574109,SPR,Spirit AeroSystems Holdings In,152727,-6772,4.46M,-197.67K,-4.2%,0.03%
G7T16G103,SPNS,Sapiens International Corp NV,98735,-7927,2.63M,-210.86K,-7.4%,0.02%
M20791105,CAMT,Camtek Ltd/Israel,80773,-5932,2.88M,-211.36K,-6.8%,0.02%
M87915274,TSEM,Tower Semiconductor Ltd,45452,-5927,1.71M,-222.38K,-11.5%,0.01%
462260100,IOVA,Iovance Biotherapeutics Inc,775787,-33179,5.46M,-233.58K,-4.1%,0.04%
H2906T109,GRMN,Garmin Ltd,50924,-2254,5.31M,-235.07K,-4.2%,0.04%
03966V107,47I.HM,Arconic Corp,86892,-8194,2.57M,-242.38K,-8.6%,0.02%
