CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
534187109,LNC,LINCOLN NATL CORP IND,0,-13197,0,-296.54K,CLOSE,0%
00768Y453,MSOS,ADVISORSHARES TR,165122,-56293,914.78K,-311.86K,-25.4%,0.03%
26884L109,EQT,EQT CORP,0,-10777,0,-343.89K,CLOSE,0%
87165B103,SYF,SYNCHRONY FINANCIAL,0,-12110,0,-352.16K,CLOSE,0%
33813J106,FSRNQ,FISKER INC,69621,-62672,392.66K,-353.47K,-47.4%,0.01%
78467V103,RLY,SSGA ACTIVE ETF TR,0,-13034,0,-359.48K,CLOSE,0%
12468P104,AI,C3 AI INC,0,-11009,0,-369.57K,CLOSE,0%
70614W100,PTON,PELOTON INTERACTIVE INC,0,-32639,0,-370.13K,CLOSE,0%
25459W847,TNA,DIREXION SHS ETF TR,0,-11687,0,-376.44K,CLOSE,0%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,0,-21962,0,-402.56K,CLOSE,0%
00123Q104,AGNC,AGNC INVT CORP,0,-40524,0,-408.48K,CLOSE,0%
093671105,HRB,BLOCK H & R INC,0,-11710,0,-412.78K,CLOSE,0%
12047B105,BMBL,BUMBLE INC,0,-21430,0,-418.96K,CLOSE,0%
29273V100,ET,ENERGY TRANSFER L P,0,-34271,0,-427.36K,CLOSE,0%
874080104,TAL,TAL EDUCATION GROUP,0,-67640,0,-433.57K,CLOSE,0%
74347G291,BITI,PROSHARES TR,0,-20928,0,-434.26K,CLOSE,0%
064058100,BNY,BANK NEW YORK MELLON CORP,11302,-10084,503.17K,-448.94K,-47.2%,0.02%
25400W102,APPS,DIGITAL TURBINE INC,105355,-49657,977.69K,-460.82K,-32%,0.03%
38747R702,TSL,GRANITESHARES ETF TR,0,-31637,0,-476.45K,CLOSE,0%
46267X108,IQ,IQIYI INC,0,-67626,0,-492.32K,CLOSE,0%
867224107,SU,SUNCOR ENERGY INC NEW,17413,-16964,510.55K,-497.38K,-49.3%,0.02%
904311107,UAA,UNDER ARMOUR INC,0,-52709,0,-500.21K,CLOSE,0%
78464A664,SPTL,SPDR SER TR,0,-16829,0,-519.68K,CLOSE,0%
37045V100,GM,GENERAL MTRS CO,0,-14856,0,-544.92K,CLOSE,0%
655664100,JWN,NORDSTROM INC,0,-35184,0,-572.44K,CLOSE,0%
74347G689,TWM,PROSHARES TR,0,-39259,0,-608.51K,CLOSE,0%
35953D104,FUBO,FUBOTV INC,0,-512291,0,-619.87K,CLOSE,0%
808524862,SCHO,SCHWAB STRATEGIC TR,0,-12859,0,-627.39K,CLOSE,0%
74347W395,GLL,PROSHARES TR II,30563,-22046,885.1K,-638.45K,-41.9%,0.03%
46137V340,RSPF,INVESCO EXCHANGE TRADED FD T,0,-12892,0,-650.66K,CLOSE,0%
09354A100,BLNK,BLINK CHARGING CO,0,-76224,0,-659.34K,CLOSE,0%
55087P104,LYFT,LYFT INC,0,-72255,0,-669.8K,CLOSE,0%
808524680,SCHQ,SCHWAB STRATEGIC TR,0,-17967,0,-673.04K,CLOSE,0%
878742204,TECK,TECK RESOURCES LTD,0,-18448,0,-673.35K,CLOSE,0%
N82405106,STLA,STELLANTIS N.V,0,-38418,0,-698.82K,CLOSE,0%
7591EP100,RF,REGIONS FINANCIAL CORP NEW,0,-37750,0,-700.64K,CLOSE,0%
493267108,KEY,KEYCORP,38162,-78662,352.62K,-726.84K,-67.3%,0.01%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,132930,-96919,1M,-729.8K,-42.2%,0.03%
704551100,BTU,PEABODY ENERGY CORP,0,-29009,0,-742.63K,CLOSE,0%
47759T100,JKS,JINKOSOLAR HLDG CO LTD,0,-14598,0,-744.79K,CLOSE,0%
61945C103,MOS,MOSAIC CO NEW,0,-16279,0,-746.88K,CLOSE,0%
74347W882,EUO,PROSHARES TR II,24653,-26889,717.65K,-782.74K,-52.2%,0.02%
690370101,BBBY,OVERSTOCK COM INC DEL,0,-38918,0,-788.87K,CLOSE,0%
093712107,BE,BLOOM ENERGY CORP,0,-39675,0,-790.72K,CLOSE,0%
03769M106,APO,APOLLO GLOBAL MGMT INC,0,-13809,0,-872.18K,CLOSE,0%
89677Q107,TCOM,TRIP COM GROUP LTD,0,-23463,0,-883.85K,CLOSE,0%
143130102,KMX,CARMAX INC,0,-14621,0,-939.84K,CLOSE,0%
406216101,HAL,HALLIBURTON CO,0,-29718,0,-940.28K,CLOSE,0%
25459W540,TMF,DIREXION SHS ETF TR,0,-107791,0,-957.18K,CLOSE,0%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,0,-14464,0,-1M,CLOSE,0%
00165C104,,AMC ENTMT HLDGS INC,0,-211268,0,-1.06M,CLOSE,0%
89832Q109,TFC,TRUIST FINL CORP,0,-32948,0,-1.12M,CLOSE,0%
74347W569,YCS,PROSHARES TR II,12943,-16742,879.49K,-1.14M,-56.4%,0.03%
83304A106,SNAP,SNAP INC,0,-102666,0,-1.15M,CLOSE,0%
891160509,TD,TORONTO DOMINION BK ONT,0,-19252,0,-1.15M,CLOSE,0%
808513105,SCHW,SCHWAB CHARLES CORP,0,-22631,0,-1.19M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,13834,-10296,1.66M,-1.23M,-42.7%,0.06%
98422D105,XPEV,XPENG INC,0,-111089,0,-1.23M,CLOSE,0%
90274D382,MLPB,UBS AG LONDON BRANCH,66379,-63857,1.32M,-1.27M,-49%,0.04%
316773100,FITB,FIFTH THIRD BANCORP,0,-48910,0,-1.3M,CLOSE,0%
13321L108,CCJ,CAMECO CORP,0,-50010,0,-1.31M,CLOSE,0%
